Id,rdf_label,rdf_type,brick_hasLocation,brick_isFedBy,brick_hasUnit,brick_isPointOf,EBO_path
AHU-ICG-L01-04,AHU-ICG-L01-04,brick:AHU,IRD-ICG-L01-PME-03,,,,
AHU-ICG-L01-05,AHU-ICG-L01-05,brick:AHU,IRD-ICG-L01-PME-03,,,,
Lift-G1,Lift-G1,brick:Elevator,ICG-Podium,,,,
Lift-G2,Lift-G2,brick:Elevator,ICG-Podium,,,,
UCL-ICG-L01-01,UCL-ICG-L01-01,brick:Equipment,IRD-ICG-L01-BSR-01,,,,
UCL-ICG-L01-02,UCL-ICG-L01-02,brick:Equipment,IRD-ICG-L01-BSR-01,,,,
ICG-L01-AC-Zone-04,ICG-L01-AC-Zone-04,brick:HVAC_Zone,IRD-ICG-L01,AHU-ICG-L01-04,,,
ICG-L01-AC-Zone-05,ICG-L01-AC-Zone-05,brick:HVAC_Zone,IRD-ICG-L01,AHU-ICG-L01-05,,,
ICG-L01-Lighting-Zone-01,ICG-L01-Lighting-Zone-01,brick:Lighting_Zone,IRD-ICG-L01,,,,
ICG-L01-Lighting-Zone-02,ICG-L01-Lighting-Zone-02,brick:Lighting_Zone,IRD-ICG-L01,,,,
T2-L05M-C2-IRC-A1,T2-L05M-C2-IRC-A1,brick:Computer_Room_Air_Conditioning,IRD-ICG-L05M-PIC-01,,,,/iBAMS-ES06/Application/Critical Rooms/T2-L05M-C2
T2-L05M-C2-IRC-B1,T2-L05M-C2-IRC-B1,brick:Computer_Room_Air_Conditioning,IRD-ICG-L05M-PIC-01,,,,/iBAMS-ES06/Application/Critical Rooms/T2-L05M-C2
T3-L05M-C2-IRC-A1,T3-L05M-C2-IRC-A1,brick:Computer_Room_Air_Conditioning,IRD-ICG-L05M-PIC-02,,,,/iBAMS-ES06/Application/Critical Rooms/T3-L05M-C2
T1-L00-DC1-IRC-A1,T1-L00-DC1-IRC-A1,brick:Computer_Room_Air_Conditioning,IRD-ICG-L00-PIC-01,,,,/iBAMS-ES06/Application/Critical Rooms/T1-L00-DC1
